image1,image2,similarity
glasses_13,glasses_3,828.697773618344
glasses_13,glasses_4,140.089257261219
glasses_13,glasses_5,401.203190416028
glasses_13,glasses_6,758.720633698597
glasses_13,glasses_7,224.14281161795
glasses_13,glasses_8,146.348898185125
glasses_13,glasses_9,667.85926661236
glasses_13,glasses_10,800.024999609387
glasses_13,glasses_11,187.970742404237
glasses_13,glasses_12,457.411193566576
glasses_14,glasses_1,301.014949794857
glasses_14,glasses_2,362.327200193416
glasses_14,glasses_3,796.492310069595
glasses_14,glasses_4,71.505244562899
glasses_14,glasses_5,339.623320754038
glasses_14,glasses_6,701.231060350296
glasses_14,glasses_7,165.710591091819
glasses_14,glasses_8,215.058131676066
glasses_14,glasses_9,607.815761559373
glasses_14,glasses_10,762.849919708982
glasses_14,glasses_11,256.400078003108
glasses_14,glasses_12,395.536344727005
glasses_14,glasses_13,69.7710541700496
glasses_15,glasses_1,257.031126519727
glasses_15,glasses_2,397.756206739757
glasses_15,glasses_3,828.005434764773
glasses_15,glasses_4,116.0
glasses_15,glasses_5,383.302752403371
glasses_15,glasses_6,743.845414047838
glasses_15,glasses_7,208.002403832263
glasses_15,glasses_8,171.42053552594
glasses_15,glasses_9,651.196590900167
glasses_15,glasses_10,796.821811950451
glasses_15,glasses_11,212.508823346232
glasses_15,glasses_12,439.331310061097
glasses_15,glasses_13,31.0
glasses_15,glasses_14,44.5533388198909
glasses_16,glasses_1,598.892310853963
glasses_16,glasses_2,64.2572953056694
glasses_16,glasses_3,893.000559910239
glasses_16,glasses_4,291.796161729383
glasses_16,glasses_5,344.815892905185
glasses_16,glasses_6,646.409313051723
glasses_16,glasses_7,320.44032205701
glasses_16,glasses_8,522.85753317706
glasses_16,glasses_9,543.773850051655
glasses_16,glasses_10,836.995818388599
glasses_16,glasses_11,558.559755084449
glasses_16,glasses_12,371.597900962855
glasses_16,glasses_13,399.211723274756
glasses_16,glasses_14,337.535183351306
glasses_16,glasses_15,368.229547972457
glasses_2,glasses_1,577.602804702332
glasses_3,glasses_1,281.232999486191
glasses_3,glasses_2,340.365979498539
glasses_4,glasses_1,341.82597911803
glasses_4,glasses_2,650.049228905011
glasses_4,glasses_3,324.981537937157
glasses_5,glasses_1,284.564579665144
glasses_5,glasses_2,651.105214231924
glasses_5,glasses_3,315.006349142363
glasses_5,glasses_4,65.0691939399898
glasses_6,glasses_1,356.140421744008
glasses_6,glasses_2,326.840939908084
glasses_6,glasses_3,300.293190065975
glasses_6,glasses_4,594.142238862042
glasses_6,glasses_5,562.406436663024
glasses_7,glasses_1,591.202165083992
glasses_7,glasses_2,209.745083375034
glasses_7,glasses_3,310.876181139694
glasses_7,glasses_4,545.495187879783
glasses_7,glasses_5,566.498896733259
glasses_7,glasses_6,462.0
glasses_8,glasses_1,57.4282160614449
glasses_8,glasses_2,555.453868471541
glasses_8,glasses_3,240.620032416256
glasses_8,glasses_4,289.069195868394
glasses_8,glasses_5,234.829725545979
glasses_8,glasses_6,366.030053410919
glasses_8,glasses_7,551.356508984885
glasses_9,glasses_1,364.188138192336
glasses_9,glasses_2,270.795125510043
glasses_9,glasses_3,258.156929017991
glasses_9,glasses_4,567.27594696056
glasses_9,glasses_5,541.435130001739
glasses_9,glasses_6,62.00806399171
glasses_9,glasses_7,400.001249998047
glasses_9,glasses_8,364.30893483416
glasses_10,glasses_1,227.378539004894
glasses_10,glasses_2,364.540807043601
glasses_10,glasses_3,64.1950153828161
glasses_10,glasses_4,339.308119560968
glasses_10,glasses_5,316.947945252844
glasses_10,glasses_6,260.048072478917
glasses_10,glasses_7,365.005479410926
glasses_10,glasses_8,194.249839124773
glasses_10,glasses_9,228.122773961742
glasses_11,glasses_1,51.0392006206994
glasses_11,glasses_2,604.810714190812
glasses_11,glasses_3,323.945983151512
glasses_11,glasses_4,388.329756778952
glasses_11,glasses_5,329.074459659208
glasses_11,glasses_6,359.217204487758
glasses_11,glasses_7,631.541764256332
glasses_11,glasses_8,108.374351209131
glasses_11,glasses_9,375.704671251237
glasses_11,glasses_10,266.537051833324
glasses_12,glasses_1,368.072003825339
glasses_12,glasses_2,368.765508148471
glasses_12,glasses_3,344.425608803991
glasses_12,glasses_4,628.0
glasses_12,glasses_5,592.663479556485
glasses_12,glasses_6,50.0099990001999
glasses_12,glasses_7,511.097837991905
glasses_12,glasses_8,385.155812626527
glasses_12,glasses_9,111.364267159624
glasses_12,glasses_10,299.843292404549
glasses_12,glasses_11,364.197748482881
glasses_13,glasses_1,454.423810995859
glasses_13,glasses_2,440.821959525612
glasses_13,glasses_3,231.562086706784
glasses_13,glasses_4,275.18720900507
glasses_13,glasses_5,312.745903250546
glasses_13,glasses_6,523.943699265484
glasses_13,glasses_7,286.923334708071
glasses_13,glasses_8,399.490926054648
glasses_13,glasses_9,473.812199083139
glasses_13,glasses_10,290.520223048242
glasses_13,glasses_11,504.602814102339
glasses_13,glasses_12,570.753887415583
glasses_14,glasses_1,637.906732994722
glasses_14,glasses_2,257.934100110862
glasses_14,glasses_3,356.674922022841
glasses_14,glasses_4,565.446726049413
glasses_14,glasses_5,592.141874891482
glasses_14,glasses_6,520.000961537572
glasses_14,glasses_7,58.0086200490927
glasses_14,glasses_8,595.628239760339
glasses_14,glasses_9,458.00436679141
glasses_14,glasses_10,413.7825515896
glasses_14,glasses_11,679.830861317725
glasses_14,glasses_12,569.106316956683
glasses_14,glasses_13,296.287023003033
glasses_15,glasses_1,501.601435404645
glasses_15,glasses_2,467.872845974203
glasses_15,glasses_3,280.912797857271
glasses_15,glasses_4,296.804649559268
glasses_15,glasses_5,341.47474284345
glasses_15,glasses_6,570.753887415583
glasses_15,glasses_7,297.139697785402
glasses_15,glasses_8,446.060534008558
glasses_15,glasses_9,519.31204492097
glasses_15,glasses_10,340.389482798749
glasses_15,glasses_11,552.0552508581
glasses_15,glasses_12,618.065530506272
glasses_15,glasses_13,50.0099990001999
glasses_15,glasses_14,296.730517473347
glasses_16,glasses_1,559.379120096558
glasses_16,glasses_2,41.1096095821889
glasses_16,glasses_3,336.720952719013
glasses_16,glasses_4,653.833312091086
glasses_16,glasses_5,650.787215608912
glasses_16,glasses_6,291.185507881144
glasses_16,glasses_7,244.624201582754
glasses_16,glasses_8,540.855803333939
glasses_16,glasses_9,237.427883787899
glasses_16,glasses_10,353.841772548126
glasses_16,glasses_11,583.851008391696
glasses_16,glasses_12,331.472472461892
glasses_16,glasses_13,458.259751669291
glasses_16,glasses_14,295.194850903602
glasses_16,glasses_15,488.529425930516
glasses_2,glasses_1,140.160622144738
glasses_3,glasses_1,149.402141885583
glasses_3,glasses_2,158.012657720829
glasses_4,glasses_1,378.216869005072
glasses_4,glasses_2,289.0
glasses_4,glasses_3,447.004474250538
glasses_5,glasses_1,318.158765398661
glasses_5,glasses_2,224.008928393491
glasses_5,glasses_3,382.020941834345
glasses_5,glasses_4,65.0307619515564
glasses_6,glasses_1,282.846247986428
glasses_6,glasses_2,330.25596133908
glasses_6,glasses_3,172.35138525698
glasses_6,glasses_4,619.136495451528
glasses_6,glasses_5,554.203031388317
glasses_7,glasses_1,188.621313747943
